Massey,NFLFastPy,Team Abbr,ELO
Arizona,ARI,Arizona,ARI
Atlanta,ATL,Atlanta,ATL
Baltimore,BAL,Baltimore,BAL
Buffalo,BUF,Buffalo,BUF
Carolina,CAR,Carolina,CAR
Chicago,CHI,Chicago,CHI
Cincinnati,CIN,Cincinnati,CIN
Cleveland,CLE,Cleveland,CLE
Dallas,DAL,Dallas,DAL
Denver,DEN,Denver,DEN
Detroit,DET,Detroit,DET
Green Bay,GB,Green Bay,GB
Houston,HOU,Houston,HOU
Indianapolis,IND,Indianapolis,IND
Jacksonville,JAX,Jacksonville,JAX
Kansas City,KC,Kansas City,KC
Las Vegas,LV,Las Vegas,OAK
LA Chargers,LAC,Los Angeles Chargers,LAC
LA Rams,LA,Los Angeles Rams,LAR
Miami,MIA,Miami,MIA
Minnesota,MIN,Minnesota,MIN
New England,NE,New England,NE
New Orleans,NO,New Orleans,NO
NY Giants,NYG,New York Giants,NYG
NY Jets,NYJ,New York Jets,NYJ
Philadelphia,PHI,Philadelphia,PHI
Pittsburgh,PIT,Pittsburgh,PIT
San Francisco,SF,San Francisco,SF
Seattle,SEA,Seattle,SEA
Tampa Bay,TB,Tampa Bay,TB
Tennessee,TEN,Tennessee,TEN
Washington,WAS,Washington,WSH
