team,lat,lng,zip
TEN,36.166461,-86.771289,37213
NYG,40.812194,-74.076983,10021
PIT,40.446786,-80.015761,15202
CAR,35.225808,-80.852861,28202
BAL,39.277969,-76.622767,21203
TB,27.975967,-82.50335,33607
IND,39.760056,-86.163806,46201
MIN,44.973881,-93.258094,56760
ARI,33.5277,-112.262608,63102
DAL,32.747778,-97.092778,75203
ATL,33.757614,-84.400972,30303
NYJ,40.812194,-74.076983,10001
DEN,39.743936,-105.020097,28037
MIA,25.957919,-80.238842,33102
PHI,39.900775,-75.167453,19092
CHI,41.862306,-87.616672,60602
NE,42.090925,-71.26435,58647
WAS,38.907697,-76.864517,20575
GB,44.501306,-88.062167,54301
LAC,32.783117,-117.119525,92103
NO,29.950931,-90.081364,70112
HOU,29.684781,-95.410956,77002
BUF,42.773739,-78.786978,14202
SF,37.713486,-122.386256,94102
JAX,30.323925,-81.637356,32099
CLE,41.506022,-81.699564,44114
LV,37.751411,-122.200889,94502
KC,39.048914,-94.484039,66027
LA,38.632975,-90.188547,63101
SEA,47.595153,-122.331625,98102
CIN,39.095442,-84.516039,45202
DET,42.340156,-83.045808,48205
